,dow,Season,Total,dowsat,dowsun,dowmon,dowtue,dowwed,dowthu,dowfri,aj1,aj2,aj3,aj4,f1,f2,f3,f4,m1,m2,m3,m4
62,Sun,f1,520.4115,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,Wed,m1,166.005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,Thu,f2,318.108,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
65,Wed,m2,166.635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,Sun,f2,70.287,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,Mon,aj1,614.943,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,Thu,aj4,827.085,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
69,Sat,f1,19.2465,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,Sun,aj1,939.54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,Mon,f2,652.26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,Tue,m1,152.838,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,Sat,m2,478.233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,Tue,aj3,705.6315,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,Sun,aj2,437.325,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,Wed,aj2,463.428,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,Sat,aj2,189.0945,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,Tue,m1,822.255,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,Tue,aj3,106.995,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,Mon,aj3,624.897,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,Sat,aj4,304.542,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,Wed,aj3,161.7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,Sat,f4,337.512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,Sat,m2,256.7775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85,Tue,m1,610.491,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,Mon,m4,401.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,Wed,m4,362.943,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,Wed,aj1,44.5935,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,Wed,f4,485.037,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,Wed,aj3,198.996,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,Sat,aj4,471.03,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,Thu,aj2,161.553,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
93,Tue,m2,608.202,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,Wed,f1,94.2375,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,Fri,m1,102.018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
96,Fri,m4,922.635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97,Sat,f2,78.435,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,Sat,m3,166.1625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,Tue,m1,521.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,Tue,m4,51.1455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,Fri,m1,742.2975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
102,Fri,m1,218.0115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
103,Thu,m4,367.038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
104,Tue,m3,223.0725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,Sat,aj2,931.035,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,Sat,aj1,172.494,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,Fri,m3,391.419,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
108,Sun,m4,321.111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,Sun,m1,860.685,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,Tue,f1,34.629,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,Tue,f1,309.3615,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,Fri,f3,535.374,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
113,Sat,aj3,548.7615,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114,Fri,aj3,763.4655,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
115,Sat,m1,85.113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,Tue,m1,115.185,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,Wed,aj2,53.928,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,Sat,f1,115.08,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,Sun,aj3,112.224,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,Thu,f2,836.304,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
121,Sat,aj2,419.832,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,Sat,m2,944.622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,Wed,m2,536.844,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,Sat,m2,474.348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,Sun,m2,688.6215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126,Sun,aj4,169.3125,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,Tue,aj1,299.8485,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,Tue,aj1,575.736,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,Fri,f2,853.146,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
130,Fri,aj4,291.207,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
131,Wed,m1,580.419,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,Sun,f2,146.328,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,Sun,f3,550.935,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,Fri,m1,512.19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
135,Mon,f3,284.193,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
136,Fri,aj3,138.1275,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
137,Mon,f3,216.846,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
138,Sat,f3,545.055,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
139,Sat,m2,609.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,Wed,aj3,942.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,Fri,aj4,950.25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
142,Tue,f1,720.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,Fri,f4,31.9305,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
144,Mon,aj3,491.085,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
145,Fri,m1,291.438,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
146,Sun,f2,316.47,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
147,Tue,m3,277.788,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,Wed,m1,603.624,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
149,Wed,m4,272.664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,Sat,m3,384.468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151,Mon,m2,254.016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
152,Tue,aj4,786.618,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,Thu,f1,103.824,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
154,Mon,aj4,680.148,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
155,Wed,f3,484.5225,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,Fri,aj1,75.7785,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
157,Thu,m1,263.97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
158,Sat,m4,918.729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,Wed,m4,588.357,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,Sat,aj3,362.712,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
161,Mon,f4,66.8745,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
162,Wed,m2,336.5565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
163,Wed,aj4,160.44,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
164,Wed,f3,418.95,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165,Mon,f4,357.588,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
166,Wed,aj2,1003.59,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
167,Fri,f2,1039.29,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
168,Sat,aj3,323.064,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169,Fri,aj3,510.972,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
170,Thu,aj1,367.5525,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
171,Sat,aj4,420.2625,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
172,Sun,m1,175.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,Sat,aj3,333.207,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
174,Fri,aj3,166.236,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
175,Thu,m3,319.788,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
176,Sun,m1,186.228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
177,Wed,f2,165.4485,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
178,Sat,m3,465.444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,Mon,aj4,273.42,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,Sat,f2,472.311,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,Wed,aj3,323.148,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,Sat,m3,162.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,Fri,aj4,288.204,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
184,Mon,m1,90.699,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,Tue,m1,56.952,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186,Sun,m1,793.716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
187,Fri,f2,195.174,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
188,Sun,f2,77.7735,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
189,Mon,aj4,293.202,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190,Mon,f2,242.676,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,Tue,aj2,154.392,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,Sat,m2,829.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,Sat,aj4,107.31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
194,Tue,m3,171.7275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
195,Sun,aj2,78.0045,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
196,Tue,m4,91.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,Sat,m3,26.5545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
198,Tue,m2,174.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199,Sun,f3,374.7975,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200,Tue,aj4,120.645,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201,Fri,m2,241.458,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
202,Mon,aj2,451.3635,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
203,Wed,f1,271.95,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,Fri,f3,93.2925,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
205,Thu,aj1,217.6335,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
206,Fri,aj1,629.8425,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
207,Mon,m3,299.565,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
208,Thu,m4,95.6655,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
209,Sat,m1,942.4485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
210,Fri,aj4,247.8735,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
211,Wed,aj2,881.307,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
212,Wed,m3,484.89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
213,Fri,aj1,146.223,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
214,Mon,m2,217.6335,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
215,Fri,m3,19.194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
216,Sun,m4,130.0425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,Thu,f3,298.116,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
218,Tue,f2,796.908,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
219,Sun,m2,180.621,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
220,Thu,aj4,285.705,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
221,Wed,m1,456.288,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
222,Sun,f3,62.0025,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
223,Thu,f3,13.167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
224,Wed,m3,90.825,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225,Fri,aj2,183.036,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
226,Sat,aj4,655.5465,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
227,Thu,aj4,155.652,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
228,Tue,f4,571.41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
229,Mon,m2,532.728,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
230,Sat,aj4,170.877,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
231,Tue,m2,33.3585,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
232,Mon,f2,794.6505,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
233,Thu,f3,310.044,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
234,Sat,m2,545.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
235,Sun,aj3,195.594,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
236,Mon,aj4,91.4025,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
237,Tue,m1,232.155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
238,Sat,m1,69.405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
239,Fri,aj2,94.1745,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
240,Fri,aj2,235.683,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
241,Mon,m2,125.517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
242,Thu,f4,195.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
243,Sat,aj1,263.13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,Sat,f1,788.508,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
245,Tue,f1,399.756,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
246,Sat,f2,256.41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
247,Wed,aj3,94.185,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
248,Mon,aj1,326.424,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,Mon,aj2,536.991,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250,Sat,f1,439.8975,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
251,Sun,m3,369.495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
252,Sat,m1,30.219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
253,Sat,m2,99.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
254,Sun,aj1,494.76,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,Tue,aj4,137.004,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
256,Thu,aj4,69.6675,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
257,Tue,f1,163.233,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
258,Wed,f2,135.45,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
259,Thu,f1,276.948,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
260,Tue,m3,709.317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
261,Thu,m1,69.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
262,Wed,m2,160.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
263,Sat,f2,233.52,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
264,Tue,f4,57.1725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
265,Tue,m2,723.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
266,Thu,m2,148.974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
267,Tue,aj1,783.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
